n,time,Err_vs_Steady,Err_vs_Exact
1,0.01,0.830529,0.830517
2,0.02,0.754157,0.754145
3,0.03,0.684809,0.684796
4,0.04,0.621837,0.621825
5,0.05,0.564657,0.564645
6,0.06,0.512735,0.512723
7,0.07,0.465587,0.465575
8,0.08,0.422775,0.422763
9,0.09,0.3839,0.383888
10,0.1,0.348599,0.348587
11,0.11,0.316545,0.316533
12,0.12,0.287438,0.287426
13,0.13,0.261007,0.260995
14,0.14,0.237007,0.236995
15,0.15,0.215214,0.215202
16,0.16,0.195424,0.195412
17,0.17,0.177455,0.177442
18,0.18,0.161137,0.161125
19,0.19,0.14632,0.146308
20,0.2,0.132866,0.132854
21,0.21,0.120649,0.120636
22,0.22,0.109555,0.109543
23,0.23,0.099481,0.0994688
24,0.24,0.0903335,0.0903213
25,0.25,0.0820272,0.082015
26,0.26,0.0744846,0.0744724
27,0.27,0.0676356,0.0676234
28,0.28,0.0614164,0.0614042
29,0.29,0.055769,0.0557568
30,0.3,0.0506409,0.0506288
31,0.31,0.0459844,0.0459722
32,0.32,0.041756,0.0417439
33,0.33,0.0379165,0.0379043
34,0.34,0.03443,0.0344178
35,0.35,0.0312641,0.0312519
36,0.36,0.0283893,0.0283771
37,0.37,0.0257788,0.0257667
38,0.38,0.0234084,0.0233963
39,0.39,0.021256,0.0212438
40,0.4,0.0193014,0.0192893
41,0.41,0.0175266,0.0175145
42,0.42,0.015915,0.0159029
43,0.43,0.0144516,0.0144394
44,0.44,0.0131228,0.0131106
45,0.45,0.0119161,0.0119039
46,0.46,0.0108204,0.0108082
47,0.47,0.00982543,0.00981325
48,0.48,0.00892196,0.00890979
49,0.49,0.00810157,0.00808939
50,0.5,0.00735661,0.00734444
51,0.51,0.00668016,0.00666798
52,0.52,0.00606591,0.00605373
53,0.53,0.00550813,0.00549596
54,0.54,0.00500165,0.00498947
55,0.55,0.00454174,0.00452956
56,0.56,0.00412412,0.00411194
57,0.57,0.0037449,0.00373272
58,0.58,0.00340054,0.00338837
59,0.59,0.00308786,0.00307568
60,0.6,0.00280392,0.00279175
61,0.61,0.0025461,0.00253392
62,0.62,0.00231198,0.0022998
63,0.63,0.00209939,0.00208721
64,0.64,0.00190634,0.00189417
65,0.65,0.00173105,0.00171888
66,0.66,0.00157188,0.0015597
67,0.67,0.00142734,0.00141516
68,0.68,0.00129609,0.00128392
69,0.69,0.00117692,0.00116474
70,0.7,0.0010687,0.00105652
71,0.71,0.000970427,0.000958251
72,0.72,0.000881195,0.000869018
73,0.73,0.000800167,0.000787991
74,0.74,0.00072659,0.000714414
75,0.75,0.000659779,0.000647602
76,0.76,0.000599111,0.000586934
77,0.77,0.000544021,0.000531845
78,0.78,0.000493998,0.000481821
79,0.79,0.000448573,0.000436397
80,0.8,0.000407326,0.00039515
81,0.81,0.000369872,0.000357696
82,0.82,0.000335861,0.000323685
83,0.83,0.000304978,0.000292802
84,0.84,0.000276935,0.000264759
85,0.85,0.00025147,0.000239294
86,0.86,0.000228347,0.000216171
87,0.87,0.00020735,0.000195174
88,0.88,0.000188284,0.000176108
89,0.89,0.000170971,0.000158795
90,0.9,0.00015525,0.000143074
91,0.91,0.000140974,0.000128799
92,0.92,0.000128011,0.000115837
93,0.93,0.00011624,0.000104066
94,0.94,0.000105552,9.33776e-05
95,0.95,9.58461e-05,8.36722e-05
96,0.96,8.70329e-05,7.48593e-05
97,0.97,7.903e-05,6.68568e-05
98,0.98,7.17631e-05,5.95903e-05
99,0.99,6.51643e-05,5.2992e-05
100,1,5.91723e-05,4.70006e-05
101,1.01,5.37313e-05,4.15602e-05
102,1.02,4.87906e-05,3.66203e-05
103,1.03,4.43042e-05,3.21348e-05
104,1.04,4.02304e-05,2.8062e-05
105,1.05,3.65311e-05,2.4364e-05
106,1.06,3.3172e-05,2.10064e-05
107,1.07,3.01218e-05,1.79581e-05
108,1.08,2.7352e-05,1.51907e-05
109,1.09,2.48369e-05,1.26787e-05
110,1.1,2.25531e-05,1.03989e-05
111,1.11,2.04793e-05,8.33075e-06
112,1.12,1.85962e-05,6.45586e-06
113,1.13,1.68862e-05,4.75899e-06
114,1.14,1.53335e-05,3.23015e-06
115,1.15,1.39236e-05,1.87617e-06
116,1.16,1.26433e-05,8.28408e-07
117,1.17,1.14807e-05,9.76263e-07
118,1.18,1.0425e-05,1.88073e-06
119,1.19,9.46643e-06,2.79543e-06
120,1.2,8.59597e-06,3.64562e-06
121,1.21,7.80555e-06,4.42447e-06
122,1.22,7.08782e-06,5.13477e-06
123,1.23,6.43608e-06,5.78134e-06
124,1.24,5.84427e-06,6.36937e-06
125,1.25,5.30688e-06,6.90389e-06
126,1.26,4.8189e-06,7.38963e-06
127,1.27,4.37579e-06,7.83093e-06
128,1.28,3.97343e-06,8.23183e-06
129,1.29,3.60806e-06,8.59598e-06
130,1.3,3.2763e-06,8.92674e-06
131,1.31,2.97503e-06,9.22714e-06
132,1.32,2.70147e-06,9.49997e-06
133,1.33,2.45307e-06,9.74775e-06
134,1.34,2.2275e-06,9.97277e-06
135,1.35,2.02268e-06,1.01771e-05
136,1.36,1.83669e-06,1.03627e-05
137,1.37,1.6678e-06,1.05312e-05
138,1.38,1.51444e-06,1.06843e-05
139,1.39,1.37519e-06,1.08232e-05
140,1.4,1.24874e-06,1.09494e-05
